"331","Arsenal","Stoke","1.28","5.5","10","3","0"
"332","Chelsea","Tottenham","2.29","3.29","3.1","1","3"
"333","Bournemouth","Crystal_Palace","2.5","3.39","3","2","2"
"334","Brighton","Huddersfield","1.85","3.5","5","1","1"
"335","Everton","Liverpool","4.2","3.75","1.9","0","0"
"336","Leicester","Newcastle","1.95","3.6","4.2","1","2"
"337","Man_City","Man_United","1.89","3.79","4.2","2","3"
"338","Stoke","Tottenham","11","5.5","1.33","1","2"
"339","Watford","Burnley","2.39","3.2","3.39","1","2"
"340","West_Brom","Swansea","2.37","3.2","3.39","1","1"
"341","Arsenal","Southampton","1.57","4.5","6","3","2"
"342","Chelsea","West_Ham","1.28","6","12","1","1"
"343","Burnley","Swansea","2.4","3.3","3.25","0","1"
"344","Crystal_Palace","West_Brom","2","3.3","4.5","0","1"
"345","Everton","Tottenham","3.2","3.4","2.4","1","1"
"346","Hull","Leicester","4.5","3.6","1.91","2","1"
"347","Man_City","Sunderland","1.25","6.5","15","2","1"
"348","Middlesbrough","Stoke","2.38","3.2","3.4","1","1"
"349","Southampton","Watford","1.8","3.75","5","1","1"
"350","Arsenal","Liverpool","2.4","3.5","3.1","3","4"
"351","Bournemouth","Man_United","4.75","3.6","1.85","1","3"
"352","Chelsea","West_Ham","1.65","4","6","2","1"
"353","Man_United","Southampton","1.53","4.2","7.5","2","0"
"354","Burnley","Liverpool","6.5","4.2","1.57","2","0"
"355","Leicester","Arsenal","2.88","3.6","2.5","0","0"
"356","Stoke","Man_City","5.5","3.8","1.73","1","4"
"357","Swansea","Hull","1.8","3.6","5.25","0","2"
"358","Tottenham","Crystal_Palace","1.45","4.75","8","1","0"
"359","Watford","Chelsea","5.5","3.8","1.73","1","2"
"360","West_Brom","Everton","3","3.25","2.6","1","2"
"361","Sunderland","Middlesbrough","2.55","3.2","3.1","1","2"
"362","West_Ham","Bournemouth","1.95","3.75","4","1","0"
"363","Chelsea","Burnley","1.25","5.5","15","3","0"
"364","Crystal_Palace","Bournemouth","2.3","3.2","3.3","1","1"
"365","Everton","Stoke","1.73","3.6","5.25","1","0"
"366","Hull","Man_United","8","4.1","1.44","0","1"
"367","Leicester","Swansea","1.73","3.6","5.25","2","1"
"368","Southampton","Sunderland","1.57","3.6","6.5","1","1"
"369","Tottenham","Liverpool","2.38","3.4","3","1","1"
"370","Watford","Arsenal","5","3.75","1.73","1","3"
"371","Man_City","West_Ham","1.25","6","11","3","1"
"372","West_Brom","Middlesbrough","2.6","3.1","2.9","0","0"
"373","Arsenal","Southampton","1.57","4.2","6.5","2","1"
"374","Bournemouth","West_Brom","2.05","3.25","4.33","1","0"
"375","Burnley","Hull","2.45","3.1","3.4","1","1"
"376","Liverpool","Leicester","1.7","4","5.5","4","1"
"377","Man_United","Man_City","2.38","3.25","3.4","1","2"
"378","Middlesbrough","Crystal_Palace","2.3","3.2","3.6","1","2"
"379","Stoke","Tottenham","4.6","3.75","1.85","0","4"
"380","West_Ham","Watford","1.91","3.6","4.5","2","4"
"381","Swansea","Chelsea","5.75","4","1.67","2","2"
"382","Sunderland","Everton","3.8","3.5","2.1","0","3"
"383","Chelsea","Liverpool","2.25","3.5","3.4","1","2"
"384","Everton","Middlesbrough","1.67","3.8","6","3","1"
"385","Hull","Arsenal","6","4.2","1.6","1","4"
"386","Leicester","Burnley","1.5","4.33","8","3","0"
"387","Man_City","Bournemouth","1.29","6","12","4","0"
"388","West_Brom","West_Ham","2.8","3.2","2.8","4","2"
"389","Crystal_Palace","Stoke","2","3.5","4.2","4","1"
"390","Southampton","Swansea","1.7","3.8","5.75","1","0"
"391","Tottenham","Sunderland","1.33","5.5","11","1","0"
"392","Watford","Man_United","6","4.2","1.62","3","1"
"393","Arsenal","Chelsea","2.4","3.5","3.1","3","0"
"394","Bournemouth","Everton","3.6","3.5","2.15","1","0"
"395","Liverpool","Hull","1.22","7","15","5","1"
"396","Man_United","Leicester","1.73","3.9","5.25","4","1"
"397","Middlesbrough","Tottenham","3.75","3.5","2.1","1","2"
"398","Stoke","West_Brom","2.38","3.3","3.3","1","1"
"399","Sunderland","Crystal_Palace","2.88","3.25","2.7","2","3"
"400","Swansea","Man_City","9","5.5","1.36","1","3"
"401","West_Ham","Southampton","2.8","3.3","2.75","0","3"
"402","Burnley","Watford","2.9","3.2","2.7","2","0"
"403","Everton","Crystal_Palace","1.73","4","5","1","1"
"404","Hull","Chelsea","7.5","4.5","1.5","0","2"
"405","Sunderland","West_Brom","2.5","3.25","3.2","1","1"
"406","Swansea","Liverpool","8","4.75","1.45","1","2"
"407","Watford","Bournemouth","2.38","3.3","3.3","2","2"
"408","West_Ham","Middlesbrough","2.25","3.4","3.5","1","1"
"409","Burnley","Arsenal","9","5","1.4","0","1"
"410","Leicester","Southampton","2.25","3.4","3.5","0","0"
"411","Man_United","Stoke","1.33","5.75","10","1","1"
"412","Tottenham","Man_City","3","3.5","2.5","2","0"
"413","Arsenal","Swansea","1.29","6.5","11","3","2"
"414","Bournemouth","Hull","1.85","3.5","5","6","1"
"415","Chelsea","Leicester","1.57","4.5","6","3","0"
"416","Crystal_Palace","West_Ham","2.15","3.5","3.6","0","1"
"417","Man_City","Everton","1.5","4.75","7","1","1"
"418","Stoke","Sunderland","2","3.6","4","2","0"
"419","West_Brom","Tottenham","5.5","3.8","1.73","1","1"
"420","Middlesbrough","Watford","2.25","3.3","3.6","0","1"
"421","Southampton","Burnley","1.4","4.8","9.5","3","1"
"422","Liverpool","Man_United","2.2","3.5","3.5","0","0"
